"path","line","column","excerpt"
"C:\Users\Fielduser\Documents\GitHub\Incident-Management-Assistant\main.py","497","52","act_theme = QAction(""Theme Designer\xc3\u0192\xc2\xa2\xc3\xa2\xe2\u20ac\u0161\xc2\xac\xc3\u201a\xc2\xa6"", self)"
"C:\Users\Fielduser\Documents\GitHub\Incident-Management-Assistant\main.py","497","56","act_theme = QAction(""Theme Designer\xc3\u0192\xc2\xa2\xc3\xa2\xe2\u20ac\u0161\xc2\xac\xc3\u201a\xc2\xa6"", self)"
"C:\Users\Fielduser\Documents\GitHub\Incident-Management-Assistant\main.py","497","63","act_theme = QAction(""Theme Designer\xc3\u0192\xc2\xa2\xc3\xa2\xe2\u20ac\u0161\xc2\xac\xc3\u201a\xc2\xa6"", self)"
"C:\Users\Fielduser\Documents\GitHub\Incident-Management-Assistant\main.py","505","67","act_export_bundle = QAction(""Export Customizations\xc3\u0192\xc2\xa2\xc3\xa2\xe2\u20ac\u0161\xc2\xac\xc3\u201a\xc2\xa6"", self)"
"C:\Users\Fielduser\Documents\GitHub\Incident-Management-Assistant\main.py","505","71","act_export_bundle = QAction(""Export Customizations\xc3\u0192\xc2\xa2\xc3\xa2\xe2\u20ac\u0161\xc2\xac\xc3\u201a\xc2\xa6"", self)"
"C:\Users\Fielduser\Documents\GitHub\Incident-Management-Assistant\main.py","505","78","act_export_bundle = QAction(""Export Customizations\xc3\u0192\xc2\xa2\xc3\xa2\xe2\u20ac\u0161\xc2\xac\xc3\u201a\xc2\xa6"", self)"
"C:\Users\Fielduser\Documents\GitHub\Incident-Management-Assistant\main.py","508","67","act_import_bundle = QAction(""Import Customizations\xc3\u0192\xc2\xa2\xc3\xa2\xe2\u20ac\u0161\xc2\xac\xc3\u201a\xc2\xa6"", self)"
"C:\Users\Fielduser\Documents\GitHub\Incident-Management-Assistant\main.py","508","71","act_import_bundle = QAction(""Import Customizations\xc3\u0192\xc2\xa2\xc3\xa2\xe2\u20ac\u0161\xc2\xac\xc3\u201a\xc2\xa6"", self)"
"C:\Users\Fielduser\Documents\GitHub\Incident-Management-Assistant\main.py","508","78","act_import_bundle = QAction(""Import Customizations\xc3\u0192\xc2\xa2\xc3\xa2\xe2\u20ac\u0161\xc2\xac\xc3\u201a\xc2\xa6"", self)"
"C:\Users\Fielduser\Documents\GitHub\Incident-Management-Assistant\main.py","517","44","self._add_action(m_edit, ""Hospitals\xc3\u0192\xc2\xa2\xc3\xa2\xe2\u20ac\u0161\xc2\xac\xc3\u201a\xc2\xa6"", ""Ctrl+H"", ""edit.hospitals"")"
